[Iteration 17] Memory: 253.32 MB | CPU: 99.9%
[Iteration 18] Memory: 253.45 MB | CPU: 88.7%
[Iteration 19] Memory: 253.45 MB | CPU: 59.8%
[Iteration 4] Memory: 257.02 MB | CPU: 59.9%
[Iteration 5] Memory: 257.02 MB | CPU: 49.9%
[Iteration 6] Memory: 257.02 MB | CPU: 49.9%
[Iteration 7] Memory: 257.02 MB | CPU: 59.9%
[Iteration 8] Memory: 257.02 MB | CPU: 79.9%
[Iteration 9] Memory: 257.02 MB | CPU: 49.9%
[Iteration 16] Memory: 257.02 MB | CPU: 39.9%
[Iteration 17] Memory: 257.02 MB | CPU: 59.9%
[Iteration 18] Memory: 257.02 MB | CPU: 89.6%
[Iteration 19] Memory: 257.02 MB | CPU: 59.9%
[Iteration 20] Memory: 257.02 MB | CPU: 69.9%
[Iteration 21] Memory: 258.95 MB | CPU: 0.0%
[Iteration 7] Memory: 242.02 MB | CPU: 0.0%
[Iteration 8] Memory: 244.02 MB | CPU: 69.9%
[Iteration 9] Memory: 245.27 MB | CPU: 39.9%
[Iteration 10] Memory: 246.27 MB | CPU: 0.0%
[Iteration 11] Memory: 247.40 MB | CPU: 29.9%
[Iteration 12] Memory: 248.40 MB | CPU: 69.9%
[Iteration 13] Memory: 249.52 MB | CPU: 20.0%
[Iteration 14] Memory: 250.65 MB | CPU: 30.0%
[Iteration 15] Memory: 260.82 MB | CPU: 118.6%
[Iteration 7] Memory: 260.82 MB | CPU: 79.9%
[Iteration 8] Memory: 260.82 MB | CPU: 99.8%
[Iteration 9] Memory: 260.82 MB | CPU: 49.9%
[Iteration 10] Memory: 260.82 MB | CPU: 49.9%
[Iteration 11] Memory: 260.82 MB | CPU: 59.9%
[Iteration 12] Memory: 260.82 MB | CPU: 79.9%
[Iteration 13] Memory: 260.82 MB | CPU: 59.9%
[Iteration 14] Memory: 260.82 MB | CPU: 49.9%
[Iteration 15] Memory: 260.82 MB | CPU: 30.0%
[Iteration 16] Memory: 260.82 MB | CPU: 0.0%
[Iteration 17] Memory: 274.23 MB | CPU: 0.0%
[Iteration 18] Memory: 274.23 MB | CPU: 79.9%
[Iteration 19] Memory: 272.61 MB | CPU: 106.5%
[Iteration 7] Memory: 274.70 MB | CPU: 109.8%
[Iteration 8] Memory: 274.70 MB | CPU: 49.9%
[Iteration 9] Memory: 274.70 MB | CPU: 69.9%
[Iteration 10] Memory: 274.70 MB | CPU: 79.9%
[Iteration 11] Memory: 274.70 MB | CPU: 30.0%
[Iteration 12] Memory: 274.70 MB | CPU: 69.9%
[Iteration 13] Memory: 274.70 MB | CPU: 79.9%
[Iteration 14] Memory: 274.70 MB | CPU: 69.9%
[Iteration 15] Memory: 274.70 MB | CPU: 49.9%
[Iteration 16] Memory: 274.70 MB | CPU: 79.9%
[Iteration 17] Memory: 274.70 MB | CPU: 89.9%
[Iteration 18] Memory: 274.70 MB | CPU: 59.9%
