Pixel X,Pixel Y,First Shadow Timestamp,Last Shadow Timestamp,Shadow Duration (minutes)
71,9,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
80,9,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
81,9,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
89,9,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
90,9,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
98,9,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
108,9,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
116,9,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
117,9,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
126,9,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
135,9,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
144,9,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
145,9,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
153,9,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
154,9,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
161,9,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
162,9,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
171,9,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
172,9,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
180,9,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
181,9,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
207,9,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
208,9,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
235,9,2025-09-11 09:00:22,2025-09-11 09:00:22,0 days 00:00:00
236,9,2025-09-11 09:00:22,2025-09-11 09:00:22,0 days 00:00:00
253,9,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
254,9,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
262,9,2025-09-11 09:04:22,2025-09-11 09:06:22,0 days 00:02:00
263,9,2025-09-11 09:05:22,2025-09-11 09:06:22,0 days 00:01:00
1141,9,2025-09-11 16:38:22,2025-09-11 16:38:22,0 days 00:00:00
1142,9,2025-09-11 16:38:22,2025-09-11 16:38:22,0 days 00:00:00
1143,9,2025-09-11 16:38:22,2025-09-11 16:38:22,0 days 00:00:00
1150,9,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1151,9,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1152,9,2025-09-11 16:39:22,2025-09-11 16:41:22,0 days 00:02:00
1159,9,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1161,9,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1171,9,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1177,9,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1178,9,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1179,9,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1180,9,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1186,9,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1187,9,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1190,9,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1197,9,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1204,9,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1205,9,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1206,9,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1207,9,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
